Label	英文	音標	中譯	例句	翻譯	相關影片	mark_start	mark_end	syllables	main_cefr_label
1200-Holidays-festivals	Christmas	/ˋkrɪsməs/	(n.) 耶誕節	We decorated the house for Christmas.	我們為了耶誕節裝飾了房子。		6	6	Christ·mas	
1200-Holidays-festivals	Easter	[`istər]	(n.) 復活節	We painted eggs for Easter.	我們為復活節彩繪雞蛋。		5	5	Eas·ter	
1200-Holidays & festivals	Halloween	/͵hæloˋin/	(n.) 萬聖節	Kids dress up for Halloween.	孩子們為萬聖節盛裝打扮。		5	5	Hal·low·een	
1200-Holidays-festivals	festival	/ˋfɛstəv!/	(n.) 節慶	We celebrate the Spring Festival with our family.	我們與家人一起慶祝春節。		5	5	fes·ti·val	B1
1200-Holidays-festivals	holiday	/ˋhɑlə͵de/	(n.) 假日	We are going on vacation during the holiday.	我們將在假期出遊。		8	8	hol·i·day	A1
1200-Holidays-festivals	vacation	/veˋkeʃən/	(n.) 假期	We’re planning a vacation to Hawaii.	我們計劃去夏威夷度假。		4	4	va·ca·tion	A1
1200-Holidays-festivals	celebrate	/ˋsɛlə͵bret/	(v.) 慶祝	We will celebrate her birthday with a party.	我們將舉辦派對來慶祝她的生日。		3	3	cel·e·brate	B1
1200-Time-1	morning	/ˋmɔrnɪŋ/	(n.) 早上	Good morning!	早上好！		2	2	morn·ing	A1
1200-Time-1	noon	/nun/	(n.) 中午	Let’s meet at noon for lunch.	我們中午見面吃午餐吧。		4	4		A2
1200-Time-1	afternoon	/ˋæftɚˋnun/	(n.) 下午	Let’s meet in the afternoon.	我們下午見面吧。		5	5	af·ter·noon	A1
1200-Time-1	evening	/ˋivnɪŋ/	(n.) 傍晚	We usually have dinner in the evening.	我們通常在傍晚吃晚餐。		7	7	eve·ning	A1
1200-Time-1	night	/naɪt/	(n.) 夜晚	The stars shine brightly at night.	夜晚星星閃耀。		6	6		A1
1200-Time-1	Monday	/ˋmʌnde/	(n.) 星期一	I hate Mondays because they start the workweek.	我討厭星期一，因為它們開始了一周的工作。		3	3	Mon·day	A1
1200-Time-1	Tuesday	/ˋtjuzde/	(n.) 星期二	We have a meeting every Tuesday.	我們每週二都有會議。		6	6	Tues·day	A1
1200-Time-1	Wednesday	/ˋwɛnzde/	(n.) 星期三	We have a meeting every Wednesday.	我們每週三都有會議。		6	6	Wednes·day	A1
1200-Time-1	Thursday	/ˋθɝzde/	(n.) 星期四	We have a meeting on Thursday.	我們星期四有個會議。		6	6	Thurs·day	A1
1200-Time-1	Friday	/ˋfraɪ͵de/	(n.) 星期五	I always look forward to Fridays.	我總是期待星期五。		6	6	Fri·day	A1
1200-Time-1	Saturday	/ˋsætɚde/	(n.) 星期六	We’re going hiking on Saturday.	我們星期六要去遠足。		5	5	Sat·ur·day	A1
1200-Time-1	Sunday	/ˋsʌnde/	(n.) 星期天	We usually rest on Sunday.	我們通常在星期天休息。		5	5	Sun·day	A1
1200-Time-1	week	/wik/	(n.) 週	There are seven days in a week.	一週有七天。		7	7		A1
1200-Time-1	weekend	/ˋwikˋɛnd/	(n.) 週末	We went hiking last weekend.	上週末我們去遠足了。		5	5	week·end	A1
1200-Time-1	month	/mʌnθ/	(n.) 月份	There are twelve months in a year.	一年有十二個月。		4	4		A1
1200-Time-1	January	/ˋdʒænjʊ͵ɛrɪ/	(n.) 一月	Her birthday is in January.	她的生日在一月。		5	5	Jan·u·ary	A1
1200-Time-1	February	/ˋfɛbrʊ͵ɛrɪ/	(n.) 二月	Valentine’s Day is in February.	情人節在二月。		5	5	Feb·ru·ary	A1
1200-Time-1	March	/mɑrtʃ/	(n.) 三月	My birthday is in March.	我的生日在三月。		5	5		A1
1200-Time-1	April	/ˋeprəl/	(n.) 四月	My birthday is in April.	我的生日在四月。		5	5		A1
1200-Time-1	May	/meɪ/	(n.) 五月	Her birthday is in May.	她的生日在五月。		5	5		A1
1200-Time-1	June	/dʒun/	(n.) 六月	My wedding anniversary is in June.	我的結婚紀念日在六月。		6	6		A1
1200-Time-2	July	/dʒuˋlaɪ/	(n.) 七月	We’re going on vacation in July.	我們將在七月去度假。		6	6	Ju·ly	A1
1200-Time-2	August	/ɔˋgʌst/	(n.) 八月	Her vacation starts in August.	她的假期從八月開始。		5	5	au·gust	A1
1200-Time-2	September	/sɛpˋtɛmbɚ/	(n.) 九月	School starts again in September.	學校九月再次開學。		5	5	Sep·tem·ber	A1
1200-Time-2	October	/ɑkˋtobɚ/	(n.) 十月	Halloween is celebrated in October.	萬聖節在十月慶祝。		5	5	Oc·to·ber	A1
1200-Time-2	November	/noˋvɛmbɚ/	(n.) 十一月	Thanksgiving is celebrated in November in the US.	感恩節在美國於十一月慶祝。		5	5	No·vem·ber	A1
1200-Time-2	December	/dɪˋsɛmbɚ/	(n.) 十二月	Christmas is in December.	聖誕節在十二月。		4	4	De·cem·ber	A1
1200-Time-2	season	/ˋsizn/	(n.) 季節	My favorite season is summer.	我最喜歡的季節是夏天。		3	3	sea·son	B1
1200-Time-2	spring	/sprɪŋ/	(n.) 春天	Flowers bloom in the spring.	花朵在春天綻放。		5	5		A2
1200-Time-2	summer	/ˋsʌmɚ/	(n.) 夏天	I love swimming in the summer.	我喜歡夏天游泳。		6	6	sum·mer	A1
