Label	英文	音標	中譯	例句	翻譯	相關影片	mark_start	mark_end	syllables	main_cefr_label
junior2000	able	/ˈeɪbəl/	(adj.) 有能力的	He is able to solve the problem.	他有能力解決這個問題。		3	3		A2
junior2000	about	/əˈbaʊt/	(prep.) 有關	This book is about history.	這本書是關於歷史的。		4	4		A1
junior2000	above	/əˈbʌv/	(adv.) 在上方	The bird flew above the tree.	鳥兒飛過了樹的上方。		4	4		A1
junior2000	abroad	/əˈbrɔd/	(adv.) 在國外	She is studying abroad this year.	她今年正在國外學習。		4	4		B1
junior2000	absent	/ˈæbsənt/	(adj.) 缺席的	John was absent from the meeting yesterday.	約翰昨天缺席了會議。		3	3	ab·sent	B1
junior2000	accept	/ækˈsɛpt/	(v.) 接受	I can't accept your gift.	我不能接受你的禮物。		3	3	ac·cept	B1
junior2000	accident	/ˈæksɪdənt/	(n.) 意外	There was a car accident on the highway.	高速公路上發生了一起車禍。		5	5	ac·ci·dent	A2
junior2000	across	/əˈkrɔs/	(prep.) 在…對面	The park is across the street.	公園在街的對面。		4	4		A2
junior2000	act	/ækt/	(n.) 行為	His act of kindness touched everyone.	他的善舉感動了每一個人。		2	2		B1
junior2000	action	/ˈækʃən/	(n.) 活動	The government took action to improve education.	政府採取行動改善教育。		4	4	ac·tion	B1
junior2000	active	/ˈæktɪv/	(adj.) 積極的	She is an active member of the club.	她是俱樂部的一名積極成員。		4	4	ac·tive	B1
junior2000	activity	/ækˈtɪvəti/	(n.) 活動	We have many activities planned for the weekend.	我們為週末計劃了很多活動。		4	4	ac·tiv·i·ty	A2
junior2000	actor	/ˈæktər/	(n.) 男演員	The actor received an award for his performance.	這位男演員因他的表演獲得了獎項。		2	2	ac·tor	A2
junior2000	actress	/ˈæktrəs/	(n.) 女演員	The actress is famous for her role in the movie.	這位女演員因她在電影中的角色而出名。		2	2	ac·tress	
junior2000	actually	/ˈæktʃuəli/	(adv.) 確實	Actually, I don't like coffee.	實際上，我不喜歡咖啡。		1	1	ac·tu·al·ly	A2
junior2000	add	/æd/	(v.) 增加	Please add some sugar to the tea.	請在茶裡加一些糖。		2	2		A2
junior2000	address	/əˈdrɛs/	(n.) 地址	What is your home address?	你的家庭地址是什麼？		5	5	ad·dress	A1
junior2000	admire	/ədˈmaɪr/	(v.) 欽佩	I admire her for her courage.	我欽佩她的勇氣。		2	2	ad·mire	B1
junior2000	adult	/əˈdʌlt/	(n.) 成人	Only adults are allowed to enter this area.	只有成人才能進入這個區域。		2	2		A1
junior2000	advertisement	/ædˈvɚtɪzmənt/	(n.) 廣告	The advertisement caught my attention.	這則廣告引起了我的注意。		2	2	ad·ver·tise·ment	A2
junior2000	advice	/ədˈvaɪs/	(n.) 勸告	His advice was very helpful.	他的建議很有幫助。		2	2	ad·vice	A2
junior2000	advise	/ədˈvaɪz/	(v.) 勸告	I advise you to study harder.	我勸你更努力學習。		2	2	ad·vise	B1
junior2000	affect	/əˈfɛkt/	(v.) 影響	The weather can affect your mood.	天氣會影響你的情緒。		4	4	af·fect	B2
junior2000	afraid	/əˈfreɪd/	(adj.) 害怕的	She is afraid of the dark.	她害怕黑暗。		3	3		A2
junior2000	after	/ˈæftər/	(conj.) 在…之後	We will go home after the movie ends.	電影結束後我們會回家。		5	5	af·ter	A1
junior2000	afternoon	/ˌæftərˈnuːn/	(n.) 下午	Let's meet in the afternoon.	我們下午見面吧。		5	5	af·ter·noon	A1
junior2000	again	/əˈɡɛn/	(adv.) 再度	Please read the sentence again.	請再讀一遍這個句子。		5	5		A1
junior2000	against	/əˈɡɛnst/	(prep.) 靠著	The ladder is leaning against the wall.	梯子靠在牆上。		5	5		A2
junior2000	age	/eɪdʒ/	(n.) 年齡	What is your age?	你幾歲了？		4	4		A1
junior2000	ago	/əˈɡoʊ/	(adv.) …之前	He left five minutes ago.	他五分鐘前離開了。		5	5		A2
junior2000	agree	/əˈɡriː/	(v.) 同意	I agree with your opinion.	我同意你的意見。		2	2		A2
junior2000	agreement	/əˈɡrimənt/	n. 協議	Both parties signed the agreement.	雙方簽署了協議。		5	5	agree·ment	B2
junior2000	ahead	/əˈhɛd/	(adv.) 向前	Walk ahead and you'll see the park.	往前走，你會看到公園。		2	2		B1
junior2000	aim	/eɪm/	(n.) 目標	Her aim is to become a doctor.	她的目標是成為一名醫生。		2	2		B1
junior2000	air	/ɛr/	(n.) 空氣	Fresh air is good for your health.	新鮮空氣對你的健康有益。		2	2		A2
junior2000	airplane	/ˈɛrˌpleɪn/	(n.) 飛機	The airplane took off on time.	飛機準時起飛了。		2	2	air·plane	
junior2000	airport	/ˈɛrˌpɔrt/	(n.) 機場	We arrived at the airport early.	我們很早就到了機場。		5	5	air·port	A2
junior2000	alarm	/əˈlɑrm/	(n.) 警報器	The alarm went off in the middle of the night.	警報器在半夜響了起來。		2	2		A2
junior2000	album	/ˈælbəm/	(n.) 相簿	This photo album holds many memories.	這本相冊保存了許多回憶。		3	3	al·bum	A2
junior2000	algebra	/ˈældʒəbrə/	n. 代數	Algebra focuses on solving equations.	代數專注於解方程。		1	1	al·ge·bra	
junior2000	alike	/əˈlaɪk/	(adv.) 相同地	They look alike.	他們看起來很像。		3	3		B1
junior2000	alive	/əˈlaɪv/	(adj.) 活的	Is the fish still alive?	這條魚還活著嗎？		5	5		B1
junior2000	all	/ɔl/	(adj.) 全部的	All students must attend the meeting.	所有學生都必須參加會議。		1	1		A1
junior2000	allow	/əˈlaʊ/	(v.) 允許	The teacher allows us to use calculators.	老師允許我們使用計算器。		3	3	al·low	B1
