Label	英文	音標	中譯	例句	翻譯	相關影片	mark_start	mark_end	syllables	main_cefr_label
senior6000-L1P01	a/an	/ə/ ; /æn/	(art.) 一個 (不定冠詞)	I need a pen and an eraser for my class.	我上課需要一支筆和一個橡皮擦。		3	3		
senior6000-L1P01	ability	/əˋbɪlətɪ/	(n.) 能力；才能	Her ability to speak three languages is truly impressive.	她說三種語言的能力確實令人印象深刻。		2	2	abil·i·ty	B1
senior6000-L1P01	able	/ˋeb!/	(adj.) 能夠…的；有能力的	I hope you will be able to join us for dinner tonight.	我希望你今晚能和我們一起吃晚餐。		6	6		A2
senior6000-L1P01	about	/əˋbaʊt/	(prep./adv.) 關於；大約	What are you talking about? Tell me everything!	你在說什麼？全部告訴我！		5	5		A1
senior6000-L1P01	above	/əˋbʌv/	(prep./adv./adj.) 在…上面	Look at the stars shining brightly above us in the night sky.	看著夜空中在我們上方閃耀的星星。		7	7		A1
senior6000-L1P01	abroad	/əˋbrɔd/	(adv.) 在國外；到國外	Many young people dream of studying or working abroad after graduation.	許多年輕人夢想畢業後出國讀書或工作。		9	9		B1
senior6000-L1P01	across	/əˋkrɔs/	(prep./adv.) 穿過；橫越；在…對面	A small bridge runs across the river, connecting two villages.	一座小橋橫跨河流，連接兩個村莊。		5	5		A2
senior6000-L1P01	act	/ækt/	(n./v.) 行為；行動；(戲劇的)一幕	That was a brave act to stand up for your friend.	那是為了你的朋友挺身而出的勇敢行為。		5	5		B1
senior6000-L1P01	action	/ˋækʃən/	(n.) 行動；行為	It's time for action, not just words; we need to start working.	現在是行動的時候了，而不僅僅是說說而已；我們需要開始工作。		4	4	ac·tion	B1
senior6000-L1P01	actor/actress	/ˋæktɚ/ ; /ˋæktrɪs/	(n.) 男演員/女演員	The actress won an award for her outstanding performance in the movie.	那位女演員因其在電影中的出色表演而獲獎。		2	2		
senior6000-L1P01	add	/æd/	(v.) 增加；添加	Please add some sugar to my coffee; it's a bit bitter.	請在我的咖啡裡加點糖；它有點苦。		2	2		A2
senior6000-L1P01	afraid	/əˋfred/	(adj.) 害怕的；擔心的	Don't be afraid to ask questions if you don't understand.	如果你不懂，不要害怕提問。		3	3		A2
senior6000-L1P01	after	/ˋæftɚ/	(prep./conj./adv.) 在…之後	We went for a walk after dinner to enjoy the cool evening air.	晚飯後我們去散步，享受涼爽的夜晚空氣。		6	6	af·ter	A1
senior6000-L1P01	afternoon	/ˋæftɚˋnun/	(n.) 下午；午後	Let's meet at the café this afternoon around 3 o'clock.	我們今天下午3點左右在咖啡廳見面吧。		7	7	af·ter·noon	A1
senior6000-L1P01	again	/əˋgɛn/	(adv.) 再一次；又	Could you please say that again? I didn't quite catch it.	你能再說一次嗎？我沒完全聽清楚。		6	6		A1
senior6000-L1P01	age	/edʒ/	(n./v.) 年齡；時代	What is the legal voting age in your country?	在你的國家，合法的投票年齡是多少？		6	6		A1
senior6000-L1P01	ago	/əˋgo/	(adv.) …以前	She moved to Taipei two years ago to pursue her studies.	她兩年前搬到台北攻讀學業。		7	7		A2
